ATTm591131                accountNameHistory 
ATTj591620                msDS-AzScriptEngineCacheMax 
ATTj591621                msDS-AzScriptTimeout 
ATTi591642                msDS-AzTaskIsRoleDefinition 
ATTk591655                msDS-ByteArray 
ATTk591184                mS-DS-ConsistencyGuid 
ATTj591185                mS-DS-ConsistencyChildCount 
ATTl591656                msDS-DateTime 
ATTm591657                msDS-ExternalKey 
ATTm591658                msDS-ExternalStore 
ATTm591527                msDS-FilterContainers 
ATTj591659                msDS-Integer 
ATTj591666                msDs-MaxValues 
ATTm591513                msDS-Non-Security-Group-Extra-Classes 
ATTk591264                msDs-Schema-Extensions 
ATTm591512                msDS-Security-Group-Extra-Classes 
ATTm591521                msDS-Settings 
ATTm131516                msExchAssistantName 
ATTm131668                msExchHouseIdentifier 
ATTm131665                msExchLabeledURI 
ATTm591516                msFRS-Topology-Pref 
ATTk591645                msieee80211-Data 
ATTj591646                msieee80211-DataType 
ATTm591647                msieee80211-ID 
ATTm591610                msIIS-FTPDir 
ATTm591609                msIIS-FTPRoot 
ATTm591498                msPKI-Certificate-Application-Policy 
ATTj591256                msPKI-Certificate-Name-Flag 
ATTm591263                msPKI-Certificate-Policy 
ATTj591254                msPKI-Enrollment-Flag 
ATTj591257                msPKI-Minimal-Key-Size 
ATTj591495                msPKI-OID-Attribute 
ATTm591496                msPKI-OID-CPS 
ATTm591536                msPKI-OIDLocalizedName 
ATTm591497                msPKI-OID-User-Notice 
ATTj591255                msPKI-Private-Key-Flag 
ATTm591261                msPKI-Supersede-Templates 
ATTj591259                msPKI-Template-Minor-Revision 
ATTj591258                msPKI-Template-Schema-Version 
ATTm591499                msPKI-RA-Application-Policies 
ATTm591262                msPKI-RA-Policies 
ATTj591253                msPKI-RA-Signature 
ATTm590708                msRRASAttribute 
ATTm590707                msRRASVendorAttributeEntry 
ATTm591187                mS-SQL-Name 
ATTm591188                mS-SQL-RegisteredOwner 
ATTm591189                mS-SQL-Contact 
ATTm591190                mS-SQL-Location 
ATTq591191                mS-SQL-Memory 
ATTj591192                mS-SQL-Build 
ATTm591193                mS-SQL-ServiceAccount 
ATTj591194                mS-SQL-CharacterSet 
ATTm591195                mS-SQL-SortOrder 
ATTj591196                mS-SQL-UnicodeSortOrder 
ATTi591197                mS-SQL-Clustered 
ATTm591198                mS-SQL-NamedPipe 
ATTm591199                mS-SQL-MultiProtocol 
ATTm591200                mS-SQL-SPX 
ATTm591201                mS-SQL-TCPIP 
ATTm591202                mS-SQL-AppleTalk 
ATTm591203                mS-SQL-Vines 
ATTq591204                mS-SQL-Status 
ATTm591205                mS-SQL-LastUpdatedDate 
ATTm591206                mS-SQL-InformationURL 
ATTm591207                mS-SQL-ConnectionURL 
ATTm591208                mS-SQL-PublicationURL 
ATTm591209                mS-SQL-GPSLatitude 
ATTm591210                mS-SQL-GPSLongitude 
ATTm591211                mS-SQL-GPSHeight 
ATTm591212                mS-SQL-Version 
ATTm591213                mS-SQL-Language 
ATTm591214                mS-SQL-Description 
ATTm591215                mS-SQL-Type 
ATTi591216                mS-SQL-InformationDirectory 
ATTm591217                mS-SQL-Database 
ATTi591218                mS-SQL-AllowAnonymousSubscription 
ATTm591219                mS-SQL-Alias 
ATTq591220                mS-SQL-Size 
ATTm591221                mS-SQL-CreationDate 
ATTm591222                mS-SQL-LastBackupDate 
ATTm591223                mS-SQL-LastDiagnosticDate 
ATTm591224                mS-SQL-Applications 
ATTm591225                mS-SQL-Keywords 
ATTm591226                mS-SQL-Publisher 
ATTi591227                mS-SQL-AllowKnownPullSubscription 
ATTi591228                mS-SQL-AllowImmediateUpdatingSubscription 
ATTi591229                mS-SQL-AllowQueuedUpdatingSubscription 
ATTi591230                mS-SQL-AllowSnapshotFilesFTPDownloading 
ATTi591231                mS-SQL-ThirdParty 
ATTk591524                msTAPI-ConferenceBlob 
ATTm591525                msTAPI-IpAddress 
ATTm591523                msTAPI-ProtocolId 
ATTm591522                msTAPI-uid 
ATTm591447                msWMI-Author 
ATTm591448                msWMI-ChangeDate 
ATTm591500                msWMI-Class 
ATTm591449                msWMI-ClassDefinition 
ATTm591450                msWMI-CreationDate 
ATTj591501                msWMI-Genus 
ATTm591451                msWMI-ID 
ATTj591452                msWMI-IntDefault 
ATTj591502                msWMI-intFlags1 
ATTj591503                msWMI-intFlags2 
ATTj591504                msWMI-intFlags3 
ATTj591505                msWMI-intFlags4 
ATTj591453                msWMI-IntMax 
ATTj591454                msWMI-IntMin 
ATTj591455                msWMI-IntValidValues 
ATTq591456                msWMI-Int8Default 
ATTq591457                msWMI-Int8Max 
ATTq591458                msWMI-Int8Min 
ATTq591459                msWMI-Int8ValidValues 
ATTm591462                msWMI-Mof 
ATTm591463                msWMI-Name 
ATTm591464                msWMI-NormalizedClass 
ATTm591506                msWMI-Parm1 
ATTm591507                msWMI-Parm2 
ATTm591508                msWMI-Parm3 
ATTm591509                msWMI-Parm4 
ATTm591465                msWMI-PropertyName 
ATTm591466                msWMI-Query 
ATTm591467                msWMI-QueryLanguage 
ATTm591510                msWMI-ScopeGuid 
ATTm591468                msWMI-SourceOrganization 
ATTm591460                msWMI-StringDefault 
ATTm591461                msWMI-StringValidValues 
ATTm591469                msWMI-TargetClass 
ATTm591470                msWMI-TargetNameSpace 
ATTk591471                msWMI-TargetObject 
ATTm591472                msWMI-TargetPath 
ATTm591473                msWMI-TargetType 
ATTf590540                mscopeId 
ATTm590495                msiFileList 
ATTk590638                msiScript 
ATTm590669                msiScriptName 
ATTm589839                msiScriptPath 
ATTj590670                msiScriptSize 
ATTi590747                mSMQAuthenticate 
ATTj590744                mSMQBasePriority 
ATTe590757                mSMQComputerType 
ATTm591241                mSMQComputerTypeEx 
ATTj590770                mSMQCost 
ATTe590764                mSMQCSPName 
ATTi591063                mSMQDependentClientService 
ATTi591050                mSMQDependentClientServices 
ATTk590772                mSMQDigests 
ATTk590790                mSMQDigestsMig 
ATTi591062                mSMQDsService 
ATTi591052                mSMQDsServices 
ATTk590760                mSMQEncryptKey 
ATTi590758                mSMQForeign 
ATTb590753                mSMQInRoutingServers 
ATTj591132                mSMQInterval1 
ATTj591133                mSMQInterval2 
ATTi590742                mSMQJournal 
ATTj590745                mSMQJournalQuota 
ATTe590746                mSMQLabel 
ATTm591239                mSMQLabelEx 
ATTj590765                mSMQLongLived 
ATTi590776                mSMQMigrated 
ATTm591538                MSMQ-MulticastAddress 
ATTi590763                mSMQNameStyle 
ATTj590788                mSMQNt4Flags 
ATTj590784                mSMQNt4Stub 
ATTj590759                mSMQOSType 
ATTb590752                mSMQOutRoutingServers 
ATTb591049                mSMQPrevSiteGates 
ATTj590748                mSMQPrivacyLevel 
ATTk590775                mSMQQMID 
ATTj590787                mSMQQueueJournalQuota 
ATTm591067                mSMQQueueNameExt 
ATTj590786                mSMQQueueQuota 
ATTk590741                mSMQQueueType 
ATTj590743                mSMQQuota 
ATTm591519                msMQ-Recipient-FormatName 
ATTi591061                mSMQRoutingService 
ATTi591051                mSMQRoutingServices 
ATTi591537                MSMQ-SecuredSource 
ATTj590754                mSMQServiceType 
ATTj590774                mSMQServices 
ATTk590771                mSMQSignCertificates 
ATTk590791                mSMQSignCertificatesMig 
ATTk590761                mSMQSignKey 
ATTb590767                mSMQSite1 
ATTb590768                mSMQSite2 
ATTi590785                mSMQSiteForeign 
ATTb590769                mSMQSiteGates 
ATTb591134                mSMQSiteGatesMig 
ATTk590777                mSMQSiteID 
ATTe590789                mSMQSiteName 
ATTm591240                mSMQSiteNameEx 
ATTk590751                mSMQSites 
ATTi590750                mSMQTransactional 
ATTk591161                mSMQUserSid 
ATTj590766                mSMQVersion 
ATTf590947                msNPCalledStationID 
ATTj590577                nameServiceFlags 
ATTi590673                netbootAllowNewClients 
ATTi590678                netbootAnswerOnlyValidClients 
ATTi590677                netbootAnswerRequests 
ATTj590676                netbootCurrentClientCount 
ATTk590183                netbootGUID 
ATTm590182                netbootInitialization 
ATTm590681                netbootIntelliMirrorOSes 
ATTi590674                netbootLimitClients 
ATTm590683                netbootLocallyInstalledOSes 
ATTm590185                netbootMachineFilePath 
ATTj590675                netbootMaxClients 
ATTm591065                netbootMirrorDataFile 
ATTm590679                netbootNewMachineNamingPolicy 
ATTb590680                netbootNewMachineOU 
ATTm591064                netbootSIFFile 
ATTm590682                netbootTools 
ATTe131531                networkAddress 
ATTb590038                nextLevelStore 
ATTb590127                notificationList 
ATTk589913                nTGroupMembers 
ATTj590330                objectCount 
ATTk590329                oMTGuid 
ATTk590157                oMTIndxGuid 
ATTm590239                operatingSystemHotfix 
ATTm590536                optionDescription 
ATTf590537                optionsLocation 
ATTm1376301               organizationalStatus 
ATTk131517                originalDisplayTable 
ATTk131286                originalDisplayTableMSDOS 
ATTm589915                otherLoginWorkstations 
ATTm590475                otherMailbox 
ATTm1441826               middleName 
ATTj590151                packageFlags 
ATTm590150                packageName 
ATTj590148                packageType 
ATTb590381                parentCA 
ATTk590509                parentCACertificateChain 
ATTq590690                pekKeyChangeInterval 
ATTk590517                pendingCACertificates 
ATTb590519                pendingParentCA 
ATTk131397                perMsgDialogDisplayTable 
ATTk131398                perRecipDialogDisplayTable 
ATTm131687                personalTitle 
ATTm590470                otherFacsimileTelephoneNumber 
ATTm131349                otherHomePhone 
ATTm1376276               homePhone 
ATTm590546                otherIpPhone 
ATTm590545                ipPhone 
ATTm590473                primaryInternationalISDNNumber 
ATTm590471                otherMobile 
ATTm1376297               mobile 
ATTm131090                otherTelephone 
ATTm131190                otherPager 
ATTm1376298               pager 
ATTk1376263               photo 
ATTm19                    physicalDeliveryOfficeName 
ATTb590338                physicalLocationObject 
ATTm591154                pKICriticalExtensions 
ATTm591158                pKIDefaultCSPs 
ATTj591151                pKIDefaultKeySpec 
ATTp591159                pKIEnrollmentAccess 
ATTk591155                pKIExpirationPeriod 
ATTm591157                pKIExtendedKeyUsage 
ATTk591152                pKIKeyUsage 
ATTj591153                pKIMaxIssuingDepth 
ATTk591156                pKIOverlapPeriod 
ATTk590030                pKT 
ATTk590029                pKTGuid 
ATTj590457                policyReplicationFlags 
ATTm590052                portName 
ATTm18                    postOfficeBox 
ATTm16                    postalAddress 
ATTm17                    postalCode 
ATTj28                    preferredDeliveryMethod 
ATTm1441831               preferredLanguage 
ATTb589921                preferredOU 
ATTn29                    presentationAddress 
ATTk590516                previousCACertificates 
ATTb590518                previousParentCA 
ATTj590071                printAttributes 
ATTm590061                printBinNames 
ATTi590066                printCollate 
ATTi590067                printColor 
ATTi591135                printDuplexSupported 
ATTj590058                printEndTime 
ATTm590059                printFormName 
ATTi590099                printKeepPrintedJobs 
ATTm590070                printLanguage 
ATTm590112                printMACAddress 
ATTj590065                printMaxCopies 
ATTj590062                printMaxResolutionSupported 
ATTj590101                printMaxXExtent 
ATTj590102                printMaxYExtent 
ATTm590113                printMediaReady 
ATTm590123                printMediaSupported 
ATTj590106                printMemory 
ATTj590103                printMinXExtent 
ATTj590104                printMinYExtent 
ATTm590111                printNetworkAddress 
ATTm590096                printNotify 
ATTj590114                printNumberUp 
ATTm590064                printOrientationsSupported 
ATTm590095                printOwner 
ATTj590455                printPagesPerMinute 
ATTj590109                printRate 
ATTm590110                printRateUnit 
ATTm590054                printSeparatorFile 
ATTm590094                printShareName 
ATTm590098                printSpooling 
ATTi590105                printStaplingSupported 
ATTj590057                printStartTime 
ATTm590097                printStatus 
ATTm590124                printerName 
ATTj590055                priority 
ATTj590460                privilegeAttributes 
ATTm590458                privilegeDisplayName 
ATTq590459                privilegeValue 
ATTk590642                productCode 
ATTi131595                proxyGenerationEnabled 
ATTk590244                publicKeyPolicy 
ATTm590710                purportedSearch 
ATTj590282                qualityOfService 
ATTm591179                queryFilter 
ATTm590504                queryPoint 
ATTk26                    registeredAddress 
ATTm589929                remoteServerName 
ATTm589931                remoteSource 
ATTj589932                remoteSourceType 
ATTm590633                remoteStorageGUID 
ATTm589933                replicaSource 
ATTk590145                requiredCategories 
ATTb33                    roleOccupant 
ATTm1376262               roomNumber 
ATTm590190                rpcNsAnnotation 
ATTm589937                rpcNsBindings 
ATTm590191                rpcNsCodeset 
ATTj590578                rpcNsEntryFlags 
ATTm589938                rpcNsGroup 
ATTm589939                rpcNsInterfaceID 
ATTm590136                rpcNsObjectID 
ATTj589941                rpcNsPriority 
ATTm589942                rpcNsProfileEntry 
ATTm590138                rpcNsTransferSyntax 
ATTl590305                schemaUpdate 
ATTj131543                schemaVersion 
ATTj591178                scopeFlags 
ATTk14                    searchGuide 
ATTb1376277               secretary 
ATTb34                    seeAlso 
ATTj590328                seqNotification 
ATTf5                     serialNumber 
ATTj589981                serverRole 
ATTm590334                serviceBindingInformation 
ATTk589946                serviceClassID 
ATTk589947                serviceClassInfo 
ATTm590333                serviceClassName 
ATTm590481                serviceDNSName 
ATTm590483                serviceDNSNameType 
ATTk590023                serviceInstanceVersion 
ATTm590149                setupCommand 
ATTm590439                shellContextMenu 
ATTm590387                shellPropertyPages 
ATTm591033                shortServerName 
ATTm590648                signatureAlgorithms 
ATTk590186                siteGUID 
ATTb590318                siteServer 
ATTm590535                superScopeDescription 
ATTf590534                superScopes 
ATTk30                    supportedApplicationContext 
ATTj590490                syncAttributes 
ATTb590488                syncWithObject 
ATTr590491                syncWithSID 
ATTm20                    telephoneNumber 
ATTk22                    teletexTerminalIdentifier 
ATTk21                    telexNumber 
ATTm590472                primaryTelexNumber 
ATTm131203                co 
ATTm1376258               textEncodedORAddress 
ATTq590327                timeRefresh 
ATTq590326                timeVolChange 
ATTi590630                treatAsLeaf 
ATTm590484                treeName 
ATTm1376257               uid 
ATTm589961                uNCName 
ATTm1376300               uniqueIdentifier 
ATTb50                    uniqueMember 
ATTm1966088               unstructuredAddress 
ATTf1966082               unstructuredName 
ATTk590637                upgradeProductCode 
ATTk590469                userCert 
ATTm1376264               userClass 
ATTk1442008               userPKCS12 
ATTm590575                userSharedFolder 
ATTm590576                userSharedFolderOther 
ATTk1310860               userSMIMECertificate 
ATTj131541                USNIntersite 
ATTq590720                uSNSource 
ATTm590079                vendor 
ATTj589965                versionNumber 
ATTj590152                versionNumberHi 
ATTj590153                versionNumberLo 
ATTk590160                volTableGUID 
ATTk590158                volTableIdxGUID 
ATTj590331                volumeCount 
ATTm590125                wbemPath 
ATTk589966                winsockAddresses 
ATTm131536                wWWHomePage 
ATTm590573                url 
ATTg24                    x121Address 
ATTk45                    x500uniqueIdentifier 
ATTk36                    userCertificate 
ATTk591667                msDRM-IdentityCertificate 
ATTf2424834               gecos 
ATTf2424856               bootFile 
ATTf2424844               memberUid 
ATTj2424833               gidNumber 
ATTj2424838               shadowMin 
ATTj2424832               uidNumber 
ATTj2424839               shadowMax 
ATTf2424854               macAddress 
ATTj2424843               shadowFlag 
ATTf2424858               nisMapName 
ATTf2424836               loginShell 
ATTf2162997               msSFU30Name 
ATTj2293776               msDFSR-Flags 
ATTf2424859               nisMapEntry 
ATTj2424850               oncRpcNumber 
ATTf2424851               ipHostNumber 
ATTj2424842               shadowExpire 
ATTi2293769               msDFSR-Enabled 
ATTm2293781               msDFSR-DfsPath 
ATTf2424855               bootParameter 
ATTf2163011               msSFU30Aliases 
ATTf2163028               msSFU30Domains 
ATTj2424847               ipServicePort 
ATTm2293761               msDFSR-Version 
ATTj2293777               msDFSR-Options 
ATTj2424840               shadowWarning 
ATTk2293774               msDFSR-Schedule 
ATTj2424841               shadowInactive 
ATTm2293763               msDFSR-RootPath 
ATTm2293775               msDFSR-Keywords 
ATTj2293782               msDFSR-RootFence 
ATTf2163027               msSFU30NisDomain 
ATTf2424853               ipNetmaskNumber 
ATTm2162994               msSFU30MapFilter 
ATTk2293762               msDFSR-Extension 
ATTf2424852               ipNetworkNumber 
ATTf2163012               msSFU30KeyValues 
ATTf2163029               msSFU30YpServers 
ATTi2293779               msDFSR-RdcEnabled 
ATTj2424837               shadowLastChange 
ATTm2293772               msDFSR-FileFilter 
ATTj2424849               ipProtocolNumber 
ATTk591734                unixUserPassword 
ATTm2293765               msDFSR-StagingPath 
ATTf2424845               memberNisNetgroup 
ATTm2162996               msSFU30OrderNumber 
ATTf2424848               ipServiceProtocol 
ATTf2424835               unixHomeDirectory 
ATTf2163040               msSFU30CryptMethod 
ATTf2424846               nisNetgroupTriple 
ATTm2293767               msDFSR-ConflictPath 
ATTj2163030               msSFU30MaxGidNumber 
ATTj2163031               msSFU30MaxUidNumber 
ATTm2293784               msDFSR-DfsLinkTarget 
ATTm2162989               msSFU30KeyAttributes 
ATTm2162990               msSFU30FieldSeparator 
ATTk2293778               msDFSR-ContentSetGuid 
ATTm2162988               msSFU30SearchContainer 
ATTq2293766               msDFSR-StagingSizeInMb 
ATTm2293773               msDFSR-DirectoryFilter 
ATTq2293768               msDFSR-ConflictSizeInMb 
ATTj2163038               msSFU30IsValidContainer 
ATTm2162992               msSFU30SearchAttributes 
ATTm2162995               msSFU30MasterServerName 
ATTm2162993               msSFU30ResultAttributes 
ATTq2293780               msDFSR-RdcMinFileSizeInKb 
ATTf2163033               msSFU30NSMAPFieldPosition 
ATTm2162991               msSFU30IntraFieldSeparator 
ATTk2293783               msDFSR-ReplicationGroupGuid 
ATTf2163036               msSFU30NetgroupHostAtDomain 
ATTf2163037               msSFU30NetgroupUserAtDomain 
ATTj2293770               msDFSR-ReplicationGroupType 
ATTj2293771               msDFSR-TombstoneExpiryInMin 
ATTm591786                msDS-PromotionSettings 
ATTi2293788               msDFSR-ReadOnly 
ATTj2293785               msDFSR-Priority 
ATTk591773                msDS-AzObjectGuid 
ATTm591774                msDS-AzGenericData 
ATTj2293789               msDFSR-CachePolicy 
ATTm2293786               msDFSR-DeletedPath 
ATTq2293787               msDFSR-DeletedSizeInMb 
ATTm591779                ms-net-ieee-8023-GP-PolicyData 
